site_id,opcode,site_class,type_kind,bitwidth,operand_index
352,addrspacecast,pointer,pointer,32,0
353,call,int,int,64,-1
354,call,operand,int,32,0
355,call,pointer,pointer,64,1
356,trunc,int,int,32,-1
357,trunc,operand,int,64,0
358,mul,int,int,32,-1
359,mul,operand,int,32,0
360,mul,operand,int,32,1
361,addrspacecast,pointer,pointer,64,-1
362,addrspacecast,pointer,pointer,32,0
363,addrspacecast,pointer,pointer,64,-1
364,addrspacecast,pointer,pointer,32,0
365,call,int,int,64,-1
366,call,operand,int,32,0
367,call,pointer,pointer,64,1
368,trunc,int,int,32,-1
369,trunc,operand,int,64,0
370,add,int,int,32,-1
371,add,operand,int,32,0
372,add,operand,int,32,1
373,store,operand,int,32,0
374,store,pointer,pointer,64,1
375,store,operand,int,32,0
376,store,pointer,pointer,64,1
377,store,operand,int,32,0
378,store,pointer,pointer,64,1
379,load,int,int,32,-1
380,load,pointer,pointer,64,0
381,icmp,int,int,1,-1
382,icmp,operand,int,32,0
383,icmp,operand,int,32,1
384,br,operand,int,1,0
385,load,pointer,pointer,64,-1
386,load,pointer,pointer,64,0
387,load,int,int,32,-1
388,load,pointer,pointer,64,0
389,zext,int,int,64,-1
390,zext,operand,int,32,0
391,getelementptr,pointer,pointer,64,-1
392,getelementptr,pointer,pointer,64,0
393,getelementptr,operand,int,64,1
394,getelementptr,pointer,pointer,64,-1
395,getelementptr,pointer,pointer,64,0
396,getelementptr,operand,int,32,1
397,getelementptr,operand,int,32,2
398,load,int,int,32,-1
399,load,pointer,pointer,64,0
400,sext,int,int,64,-1
401,sext,operand,int,32,0
402,getelementptr,pointer,pointer,64,-1
403,getelementptr,pointer,pointer,64,0
404,getelementptr,operand,int,64,1
405,getelementptr,operand,int,64,2
406,load,int,int,32,-1
407,load,pointer,pointer,64,0
408,load,int,int,32,-1
409,load,pointer,pointer,64,0
410,add,int,int,32,-1
411,add,operand,int,32,0
412,add,operand,int,32,1
413,store,operand,int,32,0
414,store,pointer,pointer,64,1
415,load,int,int,32,-1
416,load,pointer,pointer,64,0
417,add,int,int,32,-1
418,add,operand,int,32,0
419,add,operand,int,32,1
420,store,operand,int,32,0
421,store,pointer,pointer,64,1
422,load,int,int,32,-1
423,load,pointer,pointer,64,0
424,load,pointer,pointer,64,-1
425,load,pointer,pointer,64,0
426,load,int,int,32,-1
427,load,pointer,pointer,64,0
428,zext,int,int,64,-1
429,zext,operand,int,32,0
430,getelementptr,pointer,pointer,64,-1
431,getelementptr,pointer,pointer,64,0
432,getelementptr,operand,int,64,1
433,store,operand,int,32,0
434,store,pointer,pointer,64,1
435,alloca,pointer,pointer,32,-1
436,alloca,operand,int,32,0
